rbo,cluster,signature_name,current_p
0.0396606644979787,K169-102,pnoc,0.98
0.0462981154416126,K169-103,pnoc,0.98
0.00110779953800512,K169-104,pnoc,0.98
0.00177039605715828,K169-105,pnoc,0.98
0.0131316245204084,K169-106,pnoc,0.98
0.118887473204985,K169-107,pnoc,0.98
0.0458536844709442,K169-108,pnoc,0.98
0.00190154964830935,K169-109,pnoc,0.98
0.00841878591347341,K169-11,pnoc,0.98
0.0208717437524747,K169-110,pnoc,0.98
0.00140049254689582,K169-111,pnoc,0.98
0.0270979759983179,K169-112,pnoc,0.98
0.0148748299457364,K169-113,pnoc,0.98
0.0345557256823065,K169-114,pnoc,0.98
0.0264694591136379,K169-115,pnoc,0.98
0.00985879256864343,K169-116,pnoc,0.98
0.0100316923076885,K169-117,pnoc,0.98
0.0169798904414488,K169-118,pnoc,0.98
0.0527586624563688,K169-119,pnoc,0.98
0.036787036874028,K169-12,pnoc,0.98
0.0122257451697244,K169-120,pnoc,0.98
0.05762527660879,K169-121,pnoc,0.98
0.0324141757945973,K169-122,pnoc,0.98
0.00324370144634811,K169-123,pnoc,0.98
0.0528990315514089,K169-124,pnoc,0.98
0.0404886901286607,K169-125,pnoc,0.98
0.0252764200318774,K169-126,pnoc,0.98
0.00154416603427682,K169-127,pnoc,0.98
0.00620292257936813,K169-128,pnoc,0.98
0.0835108170812989,K169-129,pnoc,0.98
0.0142052481917725,K169-13,pnoc,0.98
0.00475903013841195,K169-130,pnoc,0.98
0.0611354444541385,K169-131,pnoc,0.98
0.00475286783782171,K169-132,pnoc,0.98
0.0164379068372201,K169-133,pnoc,0.98
0.0173154241969335,K169-134,pnoc,0.98
0.0247716391167066,K169-135,pnoc,0.98
0.0964918238673347,K169-136,pnoc,0.98
0.0060109575543608,K169-137,pnoc,0.98
0.00106674311534351,K169-138,pnoc,0.98
0.0870126738036092,K169-139,pnoc,0.98
0.0689724128991103,K169-14,pnoc,0.98
0.0403466037241281,K169-140,pnoc,0.98
0.039980388820447,K169-141,pnoc,0.98
0.00466542698522996,K169-142,pnoc,0.98
0.00279685904990558,K169-143,pnoc,0.98
0.00872637025100806,K169-144,pnoc,0.98
0.0466270233328165,K169-145,pnoc,0.98
0.048602548811922,K169-146,pnoc,0.98
