cluster_id,cluster_name,gene,avg_log2FC,p_val_adj,p_val_adj_negbinom,pct.1,pct.2,pct_diff,N_DEG
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Mrtfa,0.534810778790642,9.952830267534e-05,1.45716198652051e-07,0.814,0.448,0.366,4
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Elob,-0.978836191365645,0.000104247221950668,2.50405640431813e-06,0.329,0.638,-0.309,33
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Fkbp2,-0.918810346249116,0.0001042604722309,1.31207328285199e-05,0.429,0.683,-0.254,45
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Atp6v0e2,-0.823821786943377,0.000116460112278414,4.20256730032949e-05,0.171,0.541,-0.37,13
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Atp6v1f,-0.809589720753699,0.000118468854112643,0.000210949961659802,0.143,0.522,-0.379,22
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Sub1,-0.928892026469373,0.000127052973547683,5.41990476118436e-06,0.186,0.541,-0.355,26
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Sncb,-0.917099957524732,0.000130384515860215,2.80651299748213e-06,0.271,0.597,-0.326,24
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Ubb,-1.83320173896486,0.000133487094317172,7.51540956971823e-15,0.6,0.728,-0.128,59
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Atp5md,-1.0465850986995,0.000134222964736719,9.39251095951663e-08,0.414,0.642,-0.228,32
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Ergic3,-0.663624043101045,0.000144058065360333,0.00272970258581085,0.229,0.597,-0.368,3
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,mt-Nd2,-0.798382476691937,0.000151452975177881,0.00112499469557602,0.086,0.478,-0.392,32
