gene,ensembl_gene_id,log2FoldChange,padj
Ramp2,ENSMUSG00000001240,0.153066868615567,0.582276866544465
Lsr,ENSMUSG00000001247,-1.9350327089699,0.00237502749154541
Gramd1a,ENSMUSG00000001248,-0.0119744450972311,0.942620466864484
Hpn,ENSMUSG00000001249,-1.01666430975413,
Gabrg1,ENSMUSG00000001260,0.0224986322828975,0.899575565775507
Ckb,ENSMUSG00000001270,-0.0377230486231364,0.839744004402629
Sp1,ENSMUSG00000001280,-2.10442301520227,5.86580484171327e-62
Itgb7,ENSMUSG00000001281,-0.324152736517021,0.716665299055948
Myg1,ENSMUSG00000001285,0.668274594570671,7.96435887417244e-08
Rarg,ENSMUSG00000001288,-0.956087888885034,0.000307972310319503
Pfdn5,ENSMUSG00000001289,0.0337445909034333,0.882660655317944
Efnb2,ENSMUSG00000001300,0.102655893150022,0.414615323270096
Rrp15,ENSMUSG00000001305,0.0972113069768866,0.609229722068146
Rnd2,ENSMUSG00000001313,-0.737112029426673,4.08122226995096e-06
Srr,ENSMUSG00000001323,-0.406455864150288,3.41037988642826e-05
Sync,ENSMUSG00000001333,-0.134791455498011,0.651291203199154
Fndc5,ENSMUSG00000001334,0.101678440288539,0.687940332313828
Acp5,ENSMUSG00000001348,1.27545500083444,0.129072082828388
Cnn1,ENSMUSG00000001349,-0.108380765421301,0.885207124418011
Fbxo9,ENSMUSG00000001366,0.536826355792505,0.00248132191231271
Vps50,ENSMUSG00000001376,0.207600937063189,0.076873275597873
Hars,ENSMUSG00000001380,0.653979286083076,1.01423940556155e-10
Zmat2,ENSMUSG00000001383,0.69450110122922,9.82674271312078e-09
Ube2c,ENSMUSG00000001403,-2.75001968158633,0.000515652220354613
Smg5,ENSMUSG00000001415,0.510494975978356,4.55344318879007e-06
Cct3,ENSMUSG00000001416,0.400568022722227,0.00150379972421539
Glmp,ENSMUSG00000001418,0.15378172704392,0.38066927218464
Mef2d,ENSMUSG00000001419,0.422711372105342,3.49294109438127e-06
Tmem79,ENSMUSG00000001420,0.348147546072558,0.795432184532515
Snd1,ENSMUSG00000001424,0.292125569953378,0.0315072194260948
Col18a1,ENSMUSG00000001435,-0.00562147039327803,0.993907408699397
Slc19a1,ENSMUSG00000001436,0.334231362037777,0.246880202273276
Kpnb1,ENSMUSG00000001440,0.143028128795412,0.249314565211112
Npepps,ENSMUSG00000001441,0.0339485324078801,0.828516022714315
Tbx21,ENSMUSG00000001444,1.33116745750039,0.522087382412115
Mrpl10,ENSMUSG00000001445,0.552194360941348,2.6530855909516e-05
Cyp51,ENSMUSG00000001467,-0.00559832951633761,0.97615834398169
Tcf25,ENSMUSG00000001472,0.809396042183668,3.89589730778085e-19
Tubb6,ENSMUSG00000001473,-0.183563640432695,0.35558621404937
Def8,ENSMUSG00000001482,0.239112891465511,0.0258190061524687
Meox1,ENSMUSG00000001493,-0.718109826584496,0.0363401269914234
Sost,ENSMUSG00000001494,-0.149802500851087,0.893683758971643
Nkx2-1,ENSMUSG00000001496,0.517869537054735,0.00601503281553191
Pax9,ENSMUSG00000001497,-3.66035722146407,0.0209796059243715
Irx2,ENSMUSG00000001504,-1.39125596661892,3.97198486468334e-05
Col1a1,ENSMUSG00000001506,-3.48115857642407,3.97274504651599e-14
Itga3,ENSMUSG00000001507,0.826413495767264,4.28848045686103e-09
Sgca,ENSMUSG00000001508,-0.751484334757167,0.786654784308098
Dlx3,ENSMUSG00000001510,-2.33415316959537,0.0421605641726244
Foxm1,ENSMUSG00000001517,0.0840231372656553,0.790906646429924
Itfg2,ENSMUSG00000001518,0.428291715928151,0.00193977846421167
Nrip2,ENSMUSG00000001520,0.780262261935867,4.5407623804537e-21
Tulp3,ENSMUSG00000001521,-1.53864031542366,2.54944546544842e-20
Gtf2h4,ENSMUSG00000001524,0.550933366811298,0.00527764839698981
Tubb5,ENSMUSG00000001525,0.683078631874862,5.34357522828798e-12
Ell2,ENSMUSG00000001542,-0.234998292218281,0.037138097626629
Jup,ENSMUSG00000001552,-0.619065635536003,9.49199225833227e-08
Fkbp10,ENSMUSG00000001555,-2.26256755429306,3.34545621959432e-11
Klhl10,ENSMUSG00000001558,-1.11946401466269,0.157676980363356
Mnx1,ENSMUSG00000001566,-0.377518317128717,
Nom1,ENSMUSG00000001569,0.310554835603514,0.0372012819745237
Ergic1,ENSMUSG00000001576,0.598121869055343,8.02884305304149e-06
Tnk1,ENSMUSG00000001583,-1.91082040232273,0.20007755457397
Acap1,ENSMUSG00000001588,-3.11427911660174,
Tcea3,ENSMUSG00000001604,-1.53471114370004,0.0347605237383687
Csn3,ENSMUSG00000001622,1.09549879673167,
Ifrd1,ENSMUSG00000001627,-0.378762292397612,0.0261117862457072
Stk38l,ENSMUSG00000001630,0.0295275682761984,0.857625332310586
Brpf1,ENSMUSG00000001632,0.294179996994137,0.00597862604694485
Akr1b3,ENSMUSG00000001642,0.290881160628091,0.0281441591677188
Hoxc13,ENSMUSG00000001655,,
Hoxc11,ENSMUSG00000001656,,
Hoxc8,ENSMUSG00000001657,0.343820195114264,
Hoxc6,ENSMUSG00000001661,,
Gstt1,ENSMUSG00000001663,-0.860513265922863,8.09339004973146e-09
