gene,ensembl_gene_id,log2FoldChange,padj
Pwp1,ENSMUSG00000001785,0.183647006282767,0.659173641143867
Fbxo7,ENSMUSG00000001786,-0.794026483690473,0.0008080383565792
Capns1,ENSMUSG00000001794,1.25350361338083,9.52474329755832e-21
Lrp3,ENSMUSG00000001802,0.31809006716736,0.0431990277766717
Dsg4,ENSMUSG00000001804,-0.540427902501454,
Evx2,ENSMUSG00000001815,,
Hoxd13,ENSMUSG00000001819,,
Hoxd12,ENSMUSG00000001823,,
Folr1,ENSMUSG00000001827,-3.04217641927318,
Clpb,ENSMUSG00000001829,-0.799218457917822,1.99230422263471e-07
Septin7,ENSMUSG00000001833,-0.387088803174821,0.000899901672316489
Zdhhc4,ENSMUSG00000001844,-0.139746603678963,0.61318267825999
Rac1,ENSMUSG00000001847,0.120640718213579,0.200185908029111
Nup214,ENSMUSG00000001855,-0.221976321815851,0.538442343632565
Aif1l,ENSMUSG00000001864,-2.44310463091222,1.86864066779991e-12
Cpa3,ENSMUSG00000001865,-3.77560624321951,
Ltbp1,ENSMUSG00000001870,-1.25187500373719,0.312533610285703
Ugp2,ENSMUSG00000001891,-0.329382474278165,0.116554188976965
Kcnh6,ENSMUSG00000001901,0.0352172887642832,0.949580981223004
Trmt1,ENSMUSG00000001909,0.215811078975459,0.502306687549139
Nacc1,ENSMUSG00000001910,0.178981153596503,0.148419425576909
Nfix,ENSMUSG00000001911,-1.65929937362075,3.49779627426667e-24
Slc1a5,ENSMUSG00000001918,-4.7972658444423,0.00288994238688046
Uba1,ENSMUSG00000001924,0.221091057831846,0.0566037058546079
Vwf,ENSMUSG00000001930,-4.92049603291378,0.00509057403160842
Siae,ENSMUSG00000001942,0.173708683618367,0.714313112031518
Vsig2,ENSMUSG00000001943,-2.82324689100147,0.199394862717817
Esam,ENSMUSG00000001946,0.885950450393986,0.517977580445994
Spa17,ENSMUSG00000001948,0.746406447766378,0.0120082133613026
Fam50a,ENSMUSG00000001962,-0.0767414719967783,0.828072517219235
Emd,ENSMUSG00000001964,0.192470565639253,0.291131252275649
Taco1,ENSMUSG00000001983,0.0903918159127881,0.88040929184721
Grik3,ENSMUSG00000001985,-1.66010747977141,2.61154782444231e-10
Gria3,ENSMUSG00000001986,-1.56214693806395,2.9056161465582e-08
Npas1,ENSMUSG00000001988,-3.26363544578448,0.033631641178181
Sipa1l2,ENSMUSG00000001995,-0.741010317396354,0.0198863362023901
Ap4e1,ENSMUSG00000001998,-0.708065759522066,0.0774398602613165
Blvra,ENSMUSG00000001999,0.562855902706725,0.00893113560459448
