gene	pearson	spearman	marker_gene	G-protein coupled receptors	growth factors	ion channels	ligand-dependent nuclear receptors	neuropeptide/hormones	transcription regulators	translation regulators	transmembrane receptors
Pakap	0.493305075238721	0.593098244573138	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Whrn	0.862405727841041	0.879833225424639	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Focad	0.615102115967448	0.668687363764172	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Csmd2	0.758715303049488	0.858501760586088	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Gm42851	0.628222434326589	0.605049278755863	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Mtus2	0.843644917214	0.866040680501993	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Ica1	0.841838924527465	0.685932078781391	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Cttnbp2	0.79326945485332	0.820974835872103	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Cadps2	0.920770094960066	0.932246456256207	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Prkcg	0.759279837906222	0.817335674337254	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
4732471J01Rik	0.475032789909159	0.472695555158479	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Tmem91	0.955696016503776	0.916368936296449	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Gm45179	0.686665833708787	0.731955158628659	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Fam184a	0.839608537973472	0.777140756600586	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Unc5d	0.84817207778437	0.867453018792483	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
