ensembl_gene_id,log2FoldChange,padj,comparison,external_gene_name
ENSMUSG00000001794,0.878804251403595,7.75283316750582e-10,ip_input_cre,Capns1
ENSMUSG00000001802,0.331690562330986,0.0865702620030546,ip_input_cre,Lrp3
ENSMUSG00000001829,-0.582974146712469,0.00722422161849116,ip_input_cre,Clpb
ENSMUSG00000001833,-0.836774198111002,7.86283287380721e-05,ip_input_cre,Septin7
ENSMUSG00000001844,0.594660721030635,0.0389697592747037,ip_input_cre,Zdhhc4
ENSMUSG00000001847,-0.0478592205049516,0.812613305904617,ip_input_cre,Rac1
ENSMUSG00000001855,-0.338429573461604,0.192399897371074,ip_input_cre,Nup214
ENSMUSG00000001864,-3.65202084162548,4.1367990789594e-08,ip_input_cre,Aif1l
ENSMUSG00000001891,-0.51322391530589,0.00285405638103137,ip_input_cre,Ugp2
ENSMUSG00000001901,0.353071145466177,0.628302571548337,ip_input_cre,Kcnh6
ENSMUSG00000001909,0.948911330698044,0.000436709273368121,ip_input_cre,Trmt1
ENSMUSG00000001910,-0.190247787798152,0.662197271828714,ip_input_cre,Nacc1
ENSMUSG00000001911,-2.21648876897737,1.37194766169025e-15,ip_input_cre,Nfix
ENSMUSG00000001924,0.272663594900834,0.363679038671106,ip_input_cre,Uba1
ENSMUSG00000001942,0.170066728818339,0.64490718827161,ip_input_cre,Siae
ENSMUSG00000001946,-0.152481459348896,0.897023764192495,ip_input_cre,Esam
ENSMUSG00000001948,1.17918888491033,0.0229151455486009,ip_input_cre,Spa17
ENSMUSG00000001962,0.0997034102093529,0.853329537741896,ip_input_cre,Fam50a
ENSMUSG00000001964,0.862575928249832,8.16365343864589e-05,ip_input_cre,Emd
ENSMUSG00000001983,-0.69158655635096,0.155206388060016,ip_input_cre,Taco1
ENSMUSG00000001985,-0.866222893393907,0.000120699486308868,ip_input_cre,Grik3
ENSMUSG00000001986,-1.35736462930009,7.01506935226556e-06,ip_input_cre,Gria3
ENSMUSG00000001988,-1.78382382767564,0.165585405094665,ip_input_cre,Npas1
ENSMUSG00000001995,-0.915880535015313,1.01538136366858e-07,ip_input_cre,Sipa1l2
ENSMUSG00000001998,-0.614342149961408,0.174941142334555,ip_input_cre,Ap4e1
ENSMUSG00000001999,0.457989207650575,0.161945420978049,ip_input_cre,Blvra
ENSMUSG00000002006,0.635378718659732,0.0041353601118604,ip_input_cre,Pdzd4
ENSMUSG00000002007,0.0642157162816995,0.975326834157369,ip_input_cre,Srpk3
ENSMUSG00000002010,0.244669876894353,0.39929467242435,ip_input_cre,Idh3g
ENSMUSG00000002012,0.71500274603432,0.00737877249405642,ip_input_cre,Pnck
ENSMUSG00000002014,1.49851643298719,5.56520861516103e-05,ip_input_cre,Ssr4
ENSMUSG00000002015,0.740358886372195,0.0279233602725208,ip_input_cre,Bcap31
ENSMUSG00000002017,-0.150744988722521,0.564522201916039,ip_input_cre,Fam98a
ENSMUSG00000002028,-0.886994524473959,4.45305262633296e-08,ip_input_cre,Kmt2a
ENSMUSG00000002031,0.607962893956026,0.0217537296485341,ip_input_cre,Ift46
ENSMUSG00000002032,-0.369274034310021,0.362934529864135,ip_input_cre,Tmem25
ENSMUSG00000002043,1.27213651722488,0.0134389941424604,ip_input_cre,Trappc6a
ENSMUSG00000002052,-0.345565835590338,0.0400031704108061,ip_input_cre,Supt6
ENSMUSG00000002055,-3.07314885726382,0.000578719540866921,ip_input_cre,Spag5
ENSMUSG00000002058,1.31567331476443,0.00114773603769263,ip_input_cre,Unc119
ENSMUSG00000002059,1.02645227590815,0.00368851406997702,ip_input_cre,Rab34
ENSMUSG00000002064,1.40974279282668,0.000132899483584592,ip_input_cre,Sdf2
ENSMUSG00000002068,0.774031937578384,0.187221639579281,ip_input_cre,Ccne1
ENSMUSG00000002102,0.0468377510157472,0.848802854124443,ip_input_cre,Psmc3
ENSMUSG00000002103,-0.082920895317056,0.758746727909289,ip_input_cre,Acp2
ENSMUSG00000002105,0.111875827106823,0.861446478415483,ip_input_cre,Slc39a13
ENSMUSG00000002107,-0.812574659539663,0.000201117606962474,ip_input_cre,Celf2
ENSMUSG00000002108,-0.947435766215276,0.312939650780105,ip_input_cre,Nr1h3
ENSMUSG00000002109,-0.213858410503173,0.876044888564314,ip_input_cre,Ddb2
ENSMUSG00000002129,0.0054651838308748,0.983172851091886,ip_input_cre,Sf3a1
ENSMUSG00000002147,0.00763488024066537,0.992047031337443,ip_input_cre,Stat6
ENSMUSG00000002190,-1.43373250499486,0.0148705512493323,ip_input_cre,Clgn
ENSMUSG00000002205,0.579858894803433,0.00835688747280374,ip_input_cre,Vrk3
ENSMUSG00000002210,0.346894683966974,0.516410398023621,ip_input_cre,Smg9
ENSMUSG00000002221,0.0195555723993956,0.923146590485755,ip_input_cre,Paxip1
ENSMUSG00000002222,0.0451787549000298,0.831729026365898,ip_input_cre,Rmnd5a
ENSMUSG00000002227,0.141192498576655,0.780704656148861,ip_input_cre,Mov10
ENSMUSG00000002233,0.486804026422161,0.299941655814131,ip_input_cre,Rhoc
ENSMUSG00000002250,-0.60764840129335,0.236458970920194,ip_input_cre,Ppard
ENSMUSG00000002265,0.183022200690119,0.551989146176753,ip_input_cre,Peg3
ENSMUSG00000002266,-0.325648824422618,0.128552743825841,ip_input_cre,Zim1
ENSMUSG00000002274,-1.59168294596561,0.00717153575431627,ip_input_cre,Metrn
ENSMUSG00000002279,0.293679664372842,0.686019804213125,ip_input_cre,Lmf1
ENSMUSG00000002280,0.220173220583507,0.7265866243357,ip_input_cre,Ciao3
ENSMUSG00000002289,0.379940904945624,,ip_input_cre,Angptl4
ENSMUSG00000002307,0.509285541050572,0.101991613544872,ip_input_cre,Daxx
ENSMUSG00000002308,0.942224074423861,0.0135379044954551,ip_input_cre,Cd320
ENSMUSG00000002319,0.470562685532022,0.0390848854664345,ip_input_cre,Ipo4
ENSMUSG00000002320,0.137496848410057,0.745796449478206,ip_input_cre,Tm9sf1
ENSMUSG00000002324,0.48677281958383,0.270979887236809,ip_input_cre,Rec8
ENSMUSG00000002325,0.239606968123129,0.50811797732291,ip_input_cre,Irf9
ENSMUSG00000002326,0.618417253225364,0.106926682141543,ip_input_cre,Gmpr2
ENSMUSG00000002329,0.988285865652804,0.00131594413316529,ip_input_cre,Mdp1
ENSMUSG00000002332,0.21026697158346,0.47768929836774,ip_input_cre,Dhrs1
ENSMUSG00000002341,-1.37904351355796,5.13027990233557e-14,ip_input_cre,Ncan
ENSMUSG00000002342,0.935305619192878,0.00390300208098967,ip_input_cre,Tmem161a
ENSMUSG00000002343,0.714207401890226,0.0329869236557692,ip_input_cre,Armc6
ENSMUSG00000002345,1.09276163985973,0.000650586982426313,ip_input_cre,Borcs8
ENSMUSG00000002346,-0.037308145458802,0.929170129991757,ip_input_cre,Slc25a42
ENSMUSG00000002365,-0.211460134769388,0.702565686696128,ip_input_cre,Snx9
ENSMUSG00000002372,0.41407602620496,0.115917017361875,ip_input_cre,Ranbp3
ENSMUSG00000002379,0.816181609992419,0.0121333322033937,ip_input_cre,Ndufa11
ENSMUSG00000002393,0.985385991438652,0.00762805938576983,ip_input_cre,Nr2f6
ENSMUSG00000002395,1.36567661962022,0.000165975579112862,ip_input_cre,Use1
ENSMUSG00000002396,-0.0826345897288967,0.863031412823944,ip_input_cre,Ocel1
ENSMUSG00000002409,0.139855686145054,0.733195541851106,ip_input_cre,Dyrk1b
ENSMUSG00000002413,-0.504699280567695,0.00362687757345683,ip_input_cre,Braf
ENSMUSG00000002416,0.954229461188334,6.50231237115196e-05,ip_input_cre,Ndufb2
ENSMUSG00000002428,-0.297799353638512,0.30601590128783,ip_input_cre,Hltf
ENSMUSG00000002455,0.0830826430136182,0.733872162452257,ip_input_cre,Prpf6
ENSMUSG00000002458,0.88136933989973,0.000485358950753772,ip_input_cre,Rgs19
ENSMUSG00000002459,0.545462176084095,0.0525086577268299,ip_input_cre,Rgs20
ENSMUSG00000002475,-1.54974916284901,0.000501302291090319,ip_input_cre,Abhd3
ENSMUSG00000002477,0.779491489784705,0.00395882777429822,ip_input_cre,Snrpd1
ENSMUSG00000002486,-0.185339344009956,0.596938022275761,ip_input_cre,Tchp
ENSMUSG00000002489,0.234280394270434,0.198617316106269,ip_input_cre,Tiam1
ENSMUSG00000002496,-0.559796712023027,0.00105811982923528,ip_input_cre,Tsc2
ENSMUSG00000002504,0.0199213158002848,0.947999534782264,ip_input_cre,Slc9a3r2
