feature	expression	ident
Npy	4.35304323335591	Anderson10x
Npy	5.7874252882596	Anderson10x
Npy	5.17331043770155	Anderson10x
Npy	3.57199724960268	Anderson10x
Npy	5.3082959189798	Anderson10x
Npy	5.36725185894899	Anderson10x
Npy	5.72981183907314	Anderson10x
Npy	5.26644382657635	Anderson10x
Npy	5.05955762485084	Anderson10x
Npy	3.20957522525629e-06	Anderson10x
Npy	5.185219474477	Anderson10x
Npy	2.99372314306382	Anderson10x
Npy	5.05307033310059	Anderson10x
Npy	4.86662456571121	Anderson10x
Npy	4.86016539152694	Anderson10x
Npy	1.39731646731683	Anderson10x
Npy	4.56560588987873	Anderson10x
Npy	4.39017210353463	Anderson10x
Npy	4.96203148047646	Anderson10x
Npy	1.2060696674251	Anderson10x
Npy	4.29216450201133	Anderson10x
Npy	4.94784502729001	Anderson10x
Npy	4.7150239869428	Anderson10x
Npy	3.70786959367808	Anderson10x
Npy	4.32292199988705	Anderson10x
Npy	5.15832436402801	Anderson10x
Npy	5.17934087041623	Anderson10x
Npy	4.23594924684309	Anderson10x
Npy	4.44325219579725	Anderson10x
Npy	4.05203003718948	Anderson10x
Npy	4.21467033520357	Anderson10x
Npy	4.46566560277356	Anderson10x
Npy	4.87028018024364	Anderson10x
Npy	3.35070843726486	Anderson10x
Npy	5.21121211838979	Anderson10x
Npy	4.52738242492388	Anderson10x
Npy	4.73268405441373	Anderson10x
Npy	4.60060694126019	Anderson10x
Npy	5.53848247228927	Anderson10x
Npy	4.80958596918518	Anderson10x
Npy	2.04503811967201	Anderson10x
Npy	4.08254990390937	Anderson10x
Npy	5.1774335311965	Anderson10x
Npy	4.88823721347679	Anderson10x
Npy	4.15108752364495	Anderson10x
Npy	5.12711038799061	Anderson10x
Npy	6.03545356008407	Anderson10x
Npy	5.65561881567643	Anderson10x
Npy	4.58748734582947	Anderson10x
Npy	3.94588225350768	Anderson10x
Npy	4.50046640648588	Anderson10x
Npy	4.41037563034627	Anderson10x
Npy	3.4889926107095	Anderson10x
Npy	4.15110356713252	Anderson10x
Npy	4.56553976418329	Anderson10x
Npy	4.93310467504208	Anderson10x
Npy	1.2109098069263e-05	Anderson10x
Npy	4.83299865672358	Anderson10x
Npy	4.5662241748657	Anderson10x
Npy	3.84588212303846	Anderson10x
Npy	2.78540738742057	Anderson10x
Npy	5.40447373651055	Anderson10x
Npy	4.77016948504406	Anderson10x
Npy	4.72570119221154	Anderson10x
Npy	4.18961584957505	Anderson10x
Npy	3.83478762165629	Anderson10x
Npy	4.81340748152278	Anderson10x
Npy	5.67978237776366	Anderson10x
Npy	5.88845617942589	Anderson10x
Npy	4.06395141209737	Anderson10x
Npy	4.1376736956009	Anderson10x
Npy	4.11524314399241	Anderson10x
Npy	4.44942161600723	Anderson10x
Npy	4.56438511192418	Anderson10x
Npy	5.02189862817674	Anderson10x
Npy	4.78376194961399	Anderson10x
Npy	4.81626316708637	Anderson10x
Npy	5.01978882964153	Anderson10x
Npy	3.44931005646302	Anderson10x
Npy	4.90321640803578	Anderson10x
Npy	4.62887528807974	Anderson10x
Npy	4.65747425880481	Anderson10x
Npy	5.5965868568059	Anderson10x
Npy	5.29499775603143	Anderson10x
Npy	4.46621099296483	Anderson10x
Npy	5.10142449953066	Anderson10x
Npy	5.3256384605928	Anderson10x
Npy	6.31212733484849	Anderson10x
Npy	4.96575075829199	Anderson10x
Npy	4.58274251797786	Anderson10x
Npy	5.75514997392603	Anderson10x
Npy	4.0661635932205	Anderson10x
Npy	4.8817331565311	Anderson10x
Npy	4.40272665828696	Anderson10x
Npy	5.15478617665615	Anderson10x
Npy	3.26067219666021	Anderson10x
Npy	3.87073025550243	Anderson10x
Npy	1.8535561003604	Anderson10x
Npy	5.43621584048935	Anderson10x
Npy	4.9955152200935	Anderson10x
Npy	-7.05237097025143e-06	Anderson10x
Npy	4.72104695645818	Anderson10x
Npy	6.02091263193573	Anderson10x
Npy	5.49581671054928	Anderson10x
Npy	5.69773803835575	Anderson10x
Npy	5.16194948758677	Anderson10x
Npy	4.45140274273184	Anderson10x
Npy	5.6578841256514	Anderson10x
Npy	4.71443490720274	Anderson10x
Npy	5.71263724156339	Anderson10x
Npy	5.11044207982705	Anderson10x
Npy	6.12191635771937	Anderson10x
Npy	4.95726972649479	Anderson10x
Npy	5.23674548384277	Anderson10x
Npy	4.04963563360491	Anderson10x
Npy	4.58559023094566	Anderson10x
Npy	4.66100057863189	Anderson10x
Npy	4.61075414553424	Anderson10x
Npy	3.82085013529631	Anderson10x
Npy	4.94523141974724	Anderson10x
Npy	4.21786807440408	Anderson10x
Npy	5.84457508073279	Anderson10x
Npy	6.26035771005316	Anderson10x
Npy	4.78011028307667	Anderson10x
Npy	6.2778202385664	Anderson10x
Npy	5.38566184627319	Anderson10x
Npy	7.88123529148234e-07	Anderson10x
Npy	5.15891332329651	Anderson10x
Npy	4.61393630767621	Anderson10x
Npy	5.20425197722403	Anderson10x
Npy	5.76504964507211	Anderson10x
Npy	4.32641973672538	Anderson10x
Npy	6.29018213836537	Anderson10x
Npy	6.68042131926842	Anderson10x
Npy	5.90261476125985	Anderson10x
Npy	4.90173659262072	Anderson10x
Npy	2.42122950312807	Anderson10x
Npy	5.96935893414256	Anderson10x
Npy	5.41586582542434	Anderson10x
Npy	5.50714461407471	Anderson10x
Npy	4.61069066058143	Anderson10x
Npy	5.68919584828512	Anderson10x
Npy	3.64659482200619	Anderson10x
Npy	6.0360479853058	Anderson10x
Npy	4.72545576987299	Anderson10x
Npy	5.27836339938716	Anderson10x
Npy	5.42029612104258	Anderson10x
Npy	5.72107884109948	Anderson10x
Npy	4.98598961851268	Anderson10x
Npy	4.32471809528617	Anderson10x
Npy	-1.3464305394502e-05	Anderson10x
Npy	3.98633068536906	Anderson10x
Npy	5.143291667661	Anderson10x
Npy	4.75024983974376	Anderson10x
Npy	1.51947321984398e-06	Anderson10x
Npy	5.88859906141904	Anderson10x
Npy	0.5548774456524	Anderson10x
Npy	4.29933327457877	Anderson10x
Npy	3.86750291361611	Anderson10x
Npy	3.88026974187295	Anderson10x
Npy	5.60154830325992	Anderson10x
Npy	4.79079894110726	Anderson10x
Npy	5.44193027002616	Anderson10x
Npy	5.55867821334976	Anderson10x
Npy	5.00838886655846	Anderson10x
Npy	5.10532059116973	Anderson10x
Npy	4.77973457053601	Anderson10x
Npy	4.76519552378778	Anderson10x
Npy	5.14531669861015	Anderson10x
Npy	6.08936438797487	Anderson10x
Npy	5.82042122153599	Anderson10x
Npy	5.6734096765055	Anderson10x
Npy	5.61066490724023	Anderson10x
Npy	5.84518254140178	Anderson10x
Npy	4.57087530400419	Anderson10x
Npy	5.07991341523396	Anderson10x
Npy	4.31119657002557	Anderson10x
Npy	1.50120773881821	Anderson10x
Npy	5.20969785519	Anderson10x
Npy	4.40298311231961	Anderson10x
Npy	4.66128021638464	Anderson10x
Npy	5.07464425694599	Anderson10x
Npy	4.97178274906657	Anderson10x
Npy	3.83985380155946	Anderson10x
Npy	5.10329497832667	Anderson10x
Npy	5.15599782649126	Anderson10x
Npy	4.24091966399952	Anderson10x
Npy	4.74298694448653	Anderson10x
Npy	4.6840441924976	Anderson10x
Npy	0.940836129106334	Anderson10x
Npy	4.96713281849829	Anderson10x
Npy	4.48734139407196	Anderson10x
Npy	5.37852593647975	Anderson10x
Npy	5.14597408580293	Anderson10x
Npy	5.74356225626969e-06	Anderson10x
Npy	4.23927916967193	Anderson10x
Npy	2.5759231479473	Anderson10x
Npy	5.53135705273109	Anderson10x
Npy	5.84593372518918	Anderson10x
Npy	5.20971800081953	Anderson10x
Npy	5.13010548767967	Anderson10x
Npy	5.09080713117964	Anderson10x
Npy	6.62032894571964	Anderson10x
Npy	8.02932699103618e-06	Anderson10x
Npy	6.18448629022715	Anderson10x
Npy	4.32618829978358	Anderson10x
Npy	4.58996162715537	Anderson10x
Npy	5.43595228253423	Anderson10x
Npy	4.59289984867059	Anderson10x
Npy	4.54009224874489	Anderson10x
Npy	4.45901016194582	Anderson10x
Npy	5.22630585688843	Anderson10x
Npy	5.88564412309291	Anderson10x
Npy	5.61296447234452	Anderson10x
Npy	5.07151572428844	Anderson10x
Npy	5.22016562677929	Anderson10x
Npy	4.85132876275817	Anderson10x
Npy	5.66026453993344	Anderson10x
Npy	3.76286429131182	Anderson10x
Npy	3.56028490263249	Anderson10x
Npy	0.683874888910149	Anderson10x
Npy	5.01745489415989	Anderson10x
Npy	3.90199742530708	Anderson10x
Npy	5.38257714184675	Anderson10x
Npy	6.16634558458818	Anderson10x
Npy	4.16425346551007	Anderson10x
Npy	4.81926692079781	Anderson10x
Npy	5.71399241472971	Anderson10x
Npy	5.53774670926201	Anderson10x
Npy	1.07672625920727e-05	Anderson10x
Npy	5.70872595433358	Anderson10x
Npy	5.09768991840617	Anderson10x
Npy	5.52608777114026	Anderson10x
