p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff
9.27320902425407e-229	0.487580775654535	0.786	0.683	5.13726506734651e-224	Nudcd3	0.103
1.69544405704399e-228	0.518446262934878	0.532	0.33	9.39259053161802e-224	Sumo2	0.202
2.18365057131239e-228	0.568541778378203	0.633	0.491	1.20972058000135e-223	Gng3	0.142
4.85588086172651e-228	0.425659594109783	0.319	0.123	2.69010943858787e-223	Cox7a2l	0.196
6.6522128668144e-228	-0.376144746956656	0.85	0.934	3.68525940608651e-223	4930402H24Rik	-0.0840000000000001
8.59463602926092e-228	0.548460699777323	0.416	0.212	4.76134241385026e-223	Mdh2	0.204
1.38363215412556e-227	0.333367352925847	0.216	0.049	7.66518377064017e-223	Rplp0	0.167
4.10197741542706e-227	-0.444116566012674	0.321	0.539	2.27245446837244e-222	Zcchc14	-0.218
5.70913599211022e-227	0.563258188883643	0.507	0.327	3.16280424826914e-222	Ndufb9	0.18
2.52319485094428e-226	0.588820265760049	0.433	0.235	1.39782471547462e-221	Tubb3	0.198
7.81197578217818e-226	0.584178457292764	0.58	0.404	4.32775646356889e-221	Cmss1	0.176
2.90904608328543e-225	0.540233775312	0.427	0.219	1.6115824396793e-220	Eif3c	0.208
